family,species,Coal_Oil_Point_Reserve,North_Campus_Open_Space,UCSB_Lagoon,diet_breadth,diet_reference_abbreviated,diet_reference_full
Andrenidae,Andrena piperi,0,1,0,Specialist,Fowler 2020a; Fowler 2020b,"Fowler, J. (2020) Pollen specialist bees of the central United States. Available from: https://jarrodfowler.com/bees_pollen.html ; Fowler, J. (2020) Pollen specialist bees of the western United States. Available from: https://jarrodfowler.com/bees_specialist.html "
Apidae,Anthophora curta,0,1,0,Specialist,Fowler 2020a; Fowler 2020b,"Fowler, J. (2020) Pollen specialist bees of the central United States. Available from: https://jarrodfowler.com/bees_pollen.html ; Fowler, J. (2020) Pollen specialist bees of the western United States. Available from: https://jarrodfowler.com/bees_specialist.html "
Apidae,Anthophora edwardsii,0,0,1,Generalist,"Forrest et al., 2015","Forrest, J. R. K., Thorp, R. W., Kremen, C., & Williams, N. M. (2015). Contrasting patterns in species and functional‐trait diversity of bees in an agricultural landscape. Journal of Applied Ecology, 52(3), 706–715. https://doi.org/10.1111/1365-2664.12433"
Apidae,Anthophora urbana,0,1,0,Generalist,"Diller et al., 2020","Diller, S.N., Schaeffer, J.S., Grundel, R., Pavlovic, N.B., McKenna, J.E. Jr., Esselman, P.C. (2020). Bee-Gap: Ecology, Life-History, and Distribution of Bee Species in the United States 2017: U.S. Geological Survey data release, https://doi.org/10.5066/P9QHQNNS."
Apidae,Apis mellifera,1,1,1,Generalist,"Michener et al., 1994","Michener, C. D., McGinley, R. J., & Danforth, B. N. (1994). The bee genera of North and  Central America (Hymenoptera: Apoidea). Smithsonian Institution Press."
Apidae,Ceratina acantha,1,1,1,Generalist,"Diller et al., 2020","Diller, S.N., Schaeffer, J.S., Grundel, R., Pavlovic, N.B., McKenna, J.E. Jr., Esselman, P.C. (2020). Bee-Gap: Ecology, Life-History, and Distribution of Bee Species in the United States 2017: U.S. Geological Survey data release, https://doi.org/10.5066/P9QHQNNS."
Apidae,Ceratina arizonensis,1,1,1,Generalist,"Forrest et al., 2015","Forrest, J. R. K., Thorp, R. W., Kremen, C., & Williams, N. M. (2015). Contrasting patterns in species and functional‐trait diversity of bees in an agricultural landscape. Journal of Applied Ecology, 52(3), 706–715. https://doi.org/10.1111/1365-2664.12433"
Apidae,Ceratina nanula,1,1,0,Generalist,"Diller et al., 2020","Diller, S.N., Schaeffer, J.S., Grundel, R., Pavlovic, N.B., McKenna, J.E. Jr., Esselman, P.C. (2020). Bee-Gap: Ecology, Life-History, and Distribution of Bee Species in the United States 2017: U.S. Geological Survey data release, https://doi.org/10.5066/P9QHQNNS."
Apidae,Diadasia bituberculata,1,1,1,Specialist,Fowler 2020b,"Fowler, J. (2020) Pollen specialist bees of the western United States. Available from: https://jarrodfowler.com/bees_specialist.html "
Apidae,Diadasia diminuta,0,1,0,Specialist,Fowler 2020a; Fowler 2020b,"Fowler, J. (2020) Pollen specialist bees of the central United States. Available from: https://jarrodfowler.com/bees_pollen.html ; Fowler, J. (2020) Pollen specialist bees of the western United States. Available from: https://jarrodfowler.com/bees_specialist.html "
