scientificName,family,restoration_site
Sambucus mexicana,Adoxaceae,Coal Oil Point Reserve
Carpobrotus edulis,Aizoaceae,Coal Oil Point Reserve
Drosanthemum floribundum,Aizoaceae,Coal Oil Point Reserve
Malephora crocea,Aizoaceae,Coal Oil Point Reserve
Tetragonia tetragonoides,Aizoaceae,Coal Oil Point Reserve
Atriplex lentiformis,Amaranthaceae,Coal Oil Point Reserve
Atriplex leucophylla,Amaranthaceae,Coal Oil Point Reserve
Atriplex prostrata,Amaranthaceae,Coal Oil Point Reserve
Atriplex semibaccata,Amaranthaceae,Coal Oil Point Reserve
Chenopodium berlandieri,Amaranthaceae,Coal Oil Point Reserve
Chenopodium californicum,Amaranthaceae,Coal Oil Point Reserve
Chenopodium littoreum,Amaranthaceae,Coal Oil Point Reserve
Salicornia pacifica,Amaranthaceae,Coal Oil Point Reserve
Amaryllis belladonna,Amaryllidaceae,Coal Oil Point Reserve
Rhus integrifolia,Anacardiaceae,Coal Oil Point Reserve
Toxicodendron diversilobum,Anacardiaceae,Coal Oil Point Reserve
Apium graveolens,Apiaceae,Coal Oil Point Reserve
Conium maculatum,Apiaceae,Coal Oil Point Reserve
Foeniculum vulgare,Apiaceae,Coal Oil Point Reserve
Sanicula arguta,Apiaceae,Coal Oil Point Reserve
Asclepias fascicularis,Apocynaceae,Coal Oil Point Reserve
Agave americana,Asparagaceae,Coal Oil Point Reserve
Ambrosia chamissonis,Asteraceae,Coal Oil Point Reserve
Ambrosia psilostachya,Asteraceae,Coal Oil Point Reserve
Anthemis cotula,Asteraceae,Coal Oil Point Reserve
Artemisia californica,Asteraceae,Coal Oil Point Reserve
Artemisia douglasiana,Asteraceae,Coal Oil Point Reserve
Baccharis glutinosa,Asteraceae,Coal Oil Point Reserve
Baccharis pilularis,Asteraceae,Coal Oil Point Reserve
Baccharis salicifolia,Asteraceae,Coal Oil Point Reserve
Carduus pycnocephalus,Asteraceae,Coal Oil Point Reserve
Centaurea melitensis,Asteraceae,Coal Oil Point Reserve
Centromadia parryi,Asteraceae,Coal Oil Point Reserve
Cirsium occidentale,Asteraceae,Coal Oil Point Reserve
Cotula coronopifolia,Asteraceae,Coal Oil Point Reserve
Deinandra fasciculata,Asteraceae,Coal Oil Point Reserve
Encelia californica,Asteraceae,Coal Oil Point Reserve
Ericameria ericoides,Asteraceae,Coal Oil Point Reserve
Erigeron bonariensis,Asteraceae,Coal Oil Point Reserve
Erigeron canadensis,Asteraceae,Coal Oil Point Reserve
Gaillardia aristata,Asteraceae,Coal Oil Point Reserve
Gnaphalium palustre,Asteraceae,Coal Oil Point Reserve
Grindelia camporum,Asteraceae,Coal Oil Point Reserve
Helminthotheca echioides,Asteraceae,Coal Oil Point Reserve
Heterotheca grandiflora,Asteraceae,Coal Oil Point Reserve
Isocoma menziesii,Asteraceae,Coal Oil Point Reserve
Jaumea carnosa,Asteraceae,Coal Oil Point Reserve
Lasiospermum bipinnatum,Asteraceae,Coal Oil Point Reserve
Lasthenia gracilis,Asteraceae,Coal Oil Point Reserve
Logfia gallica,Asteraceae,Coal Oil Point Reserve
Madia sativa,Asteraceae,Coal Oil Point Reserve
Malacothrix saxatilis,Asteraceae,Coal Oil Point Reserve
Matricaria discoidea,Asteraceae,Coal Oil Point Reserve
Pseudognaphalium biolettii,Asteraceae,Coal Oil Point Reserve
Pseudognaphalium californicum,Asteraceae,Coal Oil Point Reserve
Pseudognaphalium luteoalbum,Asteraceae,Coal Oil Point Reserve
Pseudognaphalium ramosissimum,Asteraceae,Coal Oil Point Reserve
Pseudognaphalium stramineum,Asteraceae,Coal Oil Point Reserve
Silybum marianum,Asteraceae,Coal Oil Point Reserve
Sonchus oleraceus,Asteraceae,Coal Oil Point Reserve
Stephanomeria elata,Asteraceae,Coal Oil Point Reserve
Stephanomeria virgata,Asteraceae,Coal Oil Point Reserve
Symphyotrichum subulatum,Asteraceae,Coal Oil Point Reserve
Tragopogon porrifolius,Asteraceae,Coal Oil Point Reserve
Verbesina encelioides,Asteraceae,Coal Oil Point Reserve
Xanthium strumarium,Asteraceae,Coal Oil Point Reserve
Amsinckia spectabilis,Boraginaceae,Coal Oil Point Reserve
Cryptantha clevelandii,Boraginaceae,Coal Oil Point Reserve
Heliotropium curassavicum,Boraginaceae,Coal Oil Point Reserve
Phacelia ramosissima,Boraginaceae,Coal Oil Point Reserve
Brassica nigra,Brassicaceae,Coal Oil Point Reserve
Brassica rapa,Brassicaceae,Coal Oil Point Reserve
Cakile maritima,Brassicaceae,Coal Oil Point Reserve
Capsella bursa-pastoris,Brassicaceae,Coal Oil Point Reserve
Raphanus raphanistrum,Brassicaceae,Coal Oil Point Reserve
Raphanus sativus,Brassicaceae,Coal Oil Point Reserve
Opuntia ficus-indica,Cactaceae,Coal Oil Point Reserve
Lonicera subspicata,Caprifoliaceae,Coal Oil Point Reserve
Saponaria officinalis,Caryophyllaceae,Coal Oil Point Reserve
Silene gallica,Caryophyllaceae,Coal Oil Point Reserve
Spergula arvensis,Caryophyllaceae,Coal Oil Point Reserve
Spergularia bocconi,Caryophyllaceae,Coal Oil Point Reserve
Spergularia macrotheca,Caryophyllaceae,Coal Oil Point Reserve
Spergularia marina,Caryophyllaceae,Coal Oil Point Reserve
Spergularia villosa,Caryophyllaceae,Coal Oil Point Reserve
Stellaria media,Caryophyllaceae,Coal Oil Point Reserve
Suaeda calceoliformis,Chenopodiaceae,Coal Oil Point Reserve
Suaeda taxifolia,Chenopodiaceae,Coal Oil Point Reserve
Chondracanthus exasperatus,Chondracanthidae,Coal Oil Point Reserve
Calystegia macrostegia,Convolvulaceae,Coal Oil Point Reserve
Calystegia soldanella,Convolvulaceae,Coal Oil Point Reserve
Convolvulus arvensis,Convolvulaceae,Coal Oil Point Reserve
Cressa truxillensis,Convolvulaceae,Coal Oil Point Reserve
Cuscuta pentagona,Convolvulaceae,Coal Oil Point Reserve
Cuscuta salina,Convolvulaceae,Coal Oil Point Reserve
Corallina officinalis,Corallinaceae,Coal Oil Point Reserve
Crassula aquatica,Crassulaceae,Coal Oil Point Reserve
Crassula connata,Crassulaceae,Coal Oil Point Reserve
Cupressus macrocarpa,Cupressaceae,Coal Oil Point Reserve
Hesperocyparis macrocarpa,Cupressaceae,Coal Oil Point Reserve
Bolboschoenus maritimus,Cyperaceae,Coal Oil Point Reserve
Bolboschoenus robustus,Cyperaceae,Coal Oil Point Reserve
Cyperus eragrostis,Cyperaceae,Coal Oil Point Reserve
Eleocharis acicularis,Cyperaceae,Coal Oil Point Reserve
Eleocharis macrostachya,Cyperaceae,Coal Oil Point Reserve
Eleocharis palustris,Cyperaceae,Coal Oil Point Reserve
Schoenoplectus californicus,Cyperaceae,Coal Oil Point Reserve
Schoenoplectus pungens,Cyperaceae,Coal Oil Point Reserve
Croton setigerus,Euphorbiaceae,Coal Oil Point Reserve
Acacia longifolia,Fabaceae,Coal Oil Point Reserve
Acmispon americanus,Fabaceae,Coal Oil Point Reserve
Acmispon strigosus,Fabaceae,Coal Oil Point Reserve
Albizia lophantha,Fabaceae,Coal Oil Point Reserve
Lupinus arboreus,Fabaceae,Coal Oil Point Reserve
Lupinus bicolor,Fabaceae,Coal Oil Point Reserve
Lupinus nanus,Fabaceae,Coal Oil Point Reserve
Medicago polymorpha,Fabaceae,Coal Oil Point Reserve
Melilotus albus,Fabaceae,Coal Oil Point Reserve
Melilotus indicus,Fabaceae,Coal Oil Point Reserve
Trifolium willdenovii,Fabaceae,Coal Oil Point Reserve
